שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אנוור,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,2,2,2,0,2,2,2,2,2,2,5,2,0,2,6,6,6,5,2,8,7,7,12,6,2,5,6,2,2,2,2,2,2,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
אניסה,118,2,0,6,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,0,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,2,2,0,0,0
אנעאם,101,0,2,2,0,2,0,2,2,2,0,2,0,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,8,2,0,2,2,6,2,2,2,2,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,2,0,0,2,2
אנשראח,80,0,0,5,2,2,2,2,5,2,2,2,2,5,2,2,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,2,2,2,2,0,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,2,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
אסאלה,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,2,7,8,5,2,8,2,2,7,7,2,2,7,2,10,2,2,5,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
אסיה,27,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,0,2,2,0,0,2,0,2
אסיל,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,2,2,2,0,2,5,2,13,32,30,34,26,22,25,17,7,12,2,10,7,9,10,9,8,7,10,12,6,8,5,2,2
אסינאת,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,2,2,2,2,2,2,2,2,2
אסמא,53,2,0,2,0,2,2,0,0,0,2,0,2,2,0,2,0,2,0,0,0,2,2,0,0,0,2,2,0,0,2,0,2,2,2,2,2,2,2,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,2,2,5,0,2,0,2,2,0,2,2,0,0,0,0
אראם,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,2,2,0,0,0,2,2,2,2,2,2,0,0,2,2,5,5,2
אריג',129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,0,7,9,11,12,7,8,5,2,7,5,2,6,2,6,2,2,2,5,2,2,0,2,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
אתאר,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,5,2,2,2,2,5,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אתיר,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,2,2,0,2,0,0,2,2,5,2,2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0
באנה,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,10,5,2,2,2,2,2,2,2,2,0,0,2,2
בדיעה,135,2,2,2,2,0,5,2,2,2,0,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0
בושרא,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,5,0,7,2,2,2,5,2,2,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
בותינה,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,2,2,2,5,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ביסאן,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,2,2,11,6,2,2,2,2,2,2,14,13,6,8,2,2,2,2,2,6,5
בלודאן,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,2,2,2,2,5,0,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
בלקיס,76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,2,2,2,5,2,2,2,2,7,2,5,2,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,0,2,0,0,0,0
בסמה,55,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,0,2,2,0,0,0,2,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,0,0,2,2,2,0,2,2,2,0,5,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0
בראאה,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0
ג'האן,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,2,2,2,6,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ג'ואנה,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,6,6,2,2,6,2,0,2,2,2,0,2,2,0,2,2,2,0,2,0
ג'ולין,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,6,2,2,5,2,2,5,2
ג'ומאנה,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,0,2,2,2,5,2,5,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ג'ורי,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,5,9,15,40,27,31,15,11
ג'זל,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,2,2,2,18,18,14,9,8,0,2,2,2,2,6,2,2
ג'יהאן,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,5,10,6,7,5,7,0,5,5,0,2,2,0,2,2,0,2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ג'ינא,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,9,7,2,2,2,5,0,2,0,0,2
ג'מילה,135,2,2,2,2,2,0,2,5,2,2,2,2,2,7,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,2,0,2,0,2,0,0,2,0,2,0,0,2,0,0,0
ג'נא,152,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2,2,2,0,2,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,5,33,14,17,6,10,2,2,5,2,2,2,2,2
ג'נאן,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,5,2,2,2,2,2,2,5,0,0,2,2,2,2,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
גדיר,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,5,0,2,16,9,10,6,5,8,6,6,2,7,2,2,2,2,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
גומאנה,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,2,2,2,2,0,2,6,6,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
גורי,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,2,2,2,2
גזל,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,2,2,2,2,2,2,2,2,6,2,6,27,22,10,10,2,5,6,5,0,2,2,2,2
גידאא,152,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,5,5,10,2,9,6,5,11,10,9,2,2,2,2,5,2,2,2,5,2,0,2,2,2,2,2,2,2,2,5,0,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
גינא,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,5,2,2,2,0,2,2,0,0,0,0,0
גמילה,63,0,0,2,2,0,2,2,2,6,2,2,2,2,2,2,0,2,0,0,0,0,0,2,0,0,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,2,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
דאנה,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,6,2,2,2,2,2,2,0,0,0,2,0,0,0
דארין,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,2,2,2,2,2,0,2,0,2,2,0,2,0,0,2,0,2,2,2,2,2,6,5,7,7,12,5,5,2,5,5,5,2,0,0,2,2,2,2,0,0,2
