שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אמל,394,0,0,0,2,0,0,0,2,2,0,5,8,9,10,11,11,15,8,6,5,12,5,10,10,2,9,6,8,15,9,17,12,5,10,18,8,10,2,7,5,2,2,2,10,8,11,2,2,2,5,2,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5
אנוור,196,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,7,2,6,6,7,5,7,2,8,2,2,5,2,2,5,2,2,5,2,0,2,0,2,2,2,7,2,2,2,0,2,5,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2
אניל,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,8,10,5,7,11,16,11,13,13,15,16,19,17,13,22,17,17,9,16,16,12,14
אנס,59,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,2
אסיל,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,2,7,2,2,7,2,2,2,7,8,2,6,6,2,7,2,5,2,2,2
אסעד,212,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,5,2,5,2,2,2,2,2,2,2,5,2,2,2,2,0,8,2,2,0,2,2,2,2,2,6,2,6,2,2,2,2,0,2,5,2,5,2,6,2,6,2,2,2,0,2,2,2,2,2,2,2,2,0,0,2,2,0
אראם,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,9,14,14,16,16
ארז,307,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,2,2,0,2,2,2,2,6,2,9,7,8,9,14,8,18,15,22,21,12,17,13,26,14,16,14,11,11,13
ארקאן,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,2,0,2,2,2,0,2,0,5,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2
אשרף,269,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,7,13,9,17,6,6,9,13,7,12,11,6,11,10,6,7,9,2,9,6,8,9,8,2,2,7,2,9,2,2,2,6,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,0,2
