שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אסמהאן,37,0,2,2,2,2,2,0,2,2,0,0,2,2,2,0,2,2,2,6,2,2,0,2,2,0,2,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אפנאן,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,0,0,2,6,6,2,0,2,0,0,2,2,2,2,0,2,2,2,0,0,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אריג',166,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,2,2,2,6,2,2,2,2,2,6,2,6,7,11,2,5,8,6,13,8,11,7,9,6,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
באדרה,74,2,2,2,2,2,2,2,2,2,2,5,2,2,6,2,2,2,2,2,2,0,2,2,2,2,0,0,2,2,0,2,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
בדיעה,136,2,2,2,2,2,5,2,2,2,2,0,2,0,2,0,5,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,5,0,0,2,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0
בסמה,72,0,2,0,0,0,2,0,0,0,2,2,2,2,6,0,2,2,2,0,5,2,2,2,2,2,0,2,2,0,2,2,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0
ג'אנית,96,2,2,0,2,2,2,2,2,7,2,2,5,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0
ג'ואל,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,12,6,5,2,0,8,6,5,2,2,10,2,2,2,0,0,2
ג'ואן,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,5,2,2,0,2,2,0,2,2,2,7,2,2,2,2,0,0,5,0,2,2,2,2,2,0,2,2,0,2,2,0,0
ג'ואנא,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,2,2,0,2,2,2,2,5,6,0,2,2,0,2,2,2,2,2,2,0,0,0,0,0,2,0,0,0
