שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אמיר,"1,182",2,0,0,0,0,0,2,0,2,0,2,0,0,2,2,6,2,6,6,2,5,8,7,12,9,14,12,12,18,11,15,15,22,15,24,20,21,23,25,30,31,40,27,31,29,32,35,33,31,29,37,28,36,33,28,25,32,18,19,24,24,26,25,23,14,22,13,13,10,14,13,14,12,10
אנדראוס,64,2,0,0,2,2,2,2,2,0,2,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,2,0,0,0,2,2,2,2,0,2,0,2,2,0,6,2,2,2,2,0,2,0,2,2,2,2,0,2,2,0,2,2,2,0,0,2
אנדרו,120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,10,2,8,12,2,2,6,5,2,2,7,5,6
אנדרי,88,0,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,2,2,2,2,0,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,0,2,0,2,0,2,2,0,2,2,2,7,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,0,2,2,2,2
אנוור,93,2,2,2,2,0,2,0,2,2,2,2,2,5,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,0,2,2,2,0,0,2,2,0,0,2,2,2,2
אנטואן,122,2,2,2,2,0,2,2,2,2,2,0,5,2,0,0,2,0,2,0,2,0,2,2,2,0,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,2,2,2,2,0,0,2,2,2,2,2,0,2,0,0,2,2,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,0,2
אנטון,361,6,2,2,10,2,8,9,8,2,2,2,2,6,6,6,9,2,12,2,5,5,2,2,6,5,2,2,8,2,2,5,2,2,2,2,2,2,2,5,2,2,2,5,2,5,2,7,2,2,5,2,7,2,6,6,6,2,2,5,2,2,6,2,2,2,2,5,2,2,2,6,2,2,2
אנטוניו,80,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,2,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2
אניס,166,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,7,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2
אסעד,233,2,2,2,0,2,2,2,2,5,2,5,2,2,5,2,2,6,5,5,2,2,0,2,2,2,2,6,2,2,2,2,2,2,2,9,0,5,2,2,2,6,0,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,5,2,2,2,2,2,2,2,2,5,0,2
אראם,39,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,2,2,0,2,2,2,2,0,2,2,2,7,2,2
ארז,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,6
אשרף,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,26,8,11,11,6,10,9,7,2,2,5,2,2,5,2,5,7,2,2,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
באסל,439,0,0,0,0,0,0,2,0,2,2,2,0,2,2,2,0,2,0,0,2,2,2,2,2,2,2,5,2,2,6,2,5,8,2,2,2,5,2,2,2,5,11,10,6,7,7,11,23,25,18,14,16,17,14,10,15,15,12,13,6,7,11,13,12,9,6,8,7,5,7,5,5,5,2
באסם,476,6,2,8,2,10,2,7,11,8,10,18,14,23,14,21,16,18,25,12,18,6,11,6,6,6,9,5,5,5,2,7,6,5,2,2,2,2,6,2,2,2,5,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,6,2,5,5,7,6,7,2,6
בהאא,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,11,2,2,2,2,2,2,0,2,2,2,2,5,2,2,2,2,2,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
בוטרוס,270,2,2,2,2,6,2,5,5,2,2,2,2,2,5,6,2,2,7,5,7,2,2,2,2,2,6,2,2,2,0,2,2,2,5,2,2,2,6,2,2,2,7,5,5,2,2,2,5,2,6,2,2,9,7,2,2,8,0,2,2,2,2,2,2,5,2,2,2,2,2,2,0,2,2
בולוס,265,2,0,2,0,2,2,2,2,6,2,2,2,6,2,5,7,11,8,2,2,2,2,2,0,2,5,2,2,2,2,2,2,0,2,2,2,2,2,2,6,2,2,2,5,5,6,2,7,2,2,2,2,10,8,2,5,2,6,2,2,2,2,2,5,2,2,7,6,2,2,2,2,2,0
בשאר,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,5,7,2,5,6,9,8,5,12,6,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2
בשארה,694,2,2,2,2,2,7,16,7,6,14,7,7,9,2,2,9,2,8,11,6,9,16,9,8,2,5,9,8,13,5,2,8,12,7,5,7,6,14,5,8,8,16,13,6,2,16,10,22,11,11,15,12,17,10,18,8,10,10,15,13,15,11,7,9,9,7,5,9,14,7,6,9,6,5
בשיר,158,2,0,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,6,0,2,5,2,2,6,8,6,10,2,7,2,6,2,2,2,2,2,2,2,2,2,5,2,2,2,2,0,2,2,2,0,0,0,2,0,0,2,0,2,2,2,2,2,2,0
ג'אד,114,0,0,0,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,2,2,0,2,2,0,0,0,0,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,5,2,2,6,5,2,2
ג'אן,229,2,0,0,2,0,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,5,2,6,2,2,5,6,2,5,9,9,9,2,6,5,8,2,10,10,11,8,6,6,10
ג'ואד,186,0,2,2,0,2,0,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,6,2,2,7,6,6,2,7,5,5,2,2,2,2,2,2,2,2,5,6,5,2,2,2,2,5,2,2,2,7,8,2,2,2,2,5,2
ג'ואן,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,9,2,0,2,2,0,2,2,8,2,2,0,2
ג'וד,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,2,5,2,0,2,6,10,14,14,25,34,41,34,35,30,28,23,30
ג'וזייף,74,0,0,0,2,2,0,0,2,2,2,0,0,2,2,0,0,0,2,2,2,0,2,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,2,0,0,2,2,0,2,2,2,5,2,0,0,2,2,0,0,0,0,0,2,0,2,0
ג'וזף,434,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,2,2,0,2,2,5,0,0,2,2,5,6,2,2,2,2,2,2,5,2,7,2,2,2,2,2,10,2,5,7,8,2,9,2,7,6,8,2,18,6,10,27,26,14,16,15,17,23,5,9,15,19,13,9
ג'ול,107,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,5,0,2,2,2,2,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0
ג'וליאן,325,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,2,2,2,2,2,0,0,2,2,2,5,5,2,9,8,5,7,7,9,8,6,14,15,8,15,13,12,12,14,16,16,15,13,13,11,13,15,11,7,2
ג'ון,208,2,0,2,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,6,2,5,7,2,2,6,2,8,10,6,2,5,8,5,2,2,7,8,5,7,6,10,8
ג'וני,333,0,0,2,2,2,2,0,0,2,2,2,2,2,2,5,6,2,8,9,14,5,8,5,7,7,9,8,8,9,11,6,7,12,11,6,6,16,6,2,2,5,9,2,6,5,7,8,5,5,2,2,5,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,6,0,2,2
ג'ורג,94,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,2,0,2,2,0,2,2,0,2,0,2,2,6,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,6,0,2,2,0,2,2,2,5
ג'ורג',"1,355",10,2,9,7,13,2,9,9,9,8,8,13,10,14,8,8,7,12,12,10,9,10,6,12,6,7,8,12,9,13,13,16,18,20,16,13,16,14,8,11,10,17,20,19,18,15,11,11,26,14,22,26,31,28,32,28,38,33,23,35,26,20,40,33,40,31,40,29,22,29,24,18,19,22
ג'יהאד,70,11,2,0,0,0,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,5,2,0,2,0,2,2,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
